cell_id,checkup_k,soc_percent,temperature_context,pulse_direction,row_count
P001_3,22,90,OT,discharge,1
P001_3,22,90,RT,charge,1
P001_3,23,10,OT,discharge,1
P001_3,23,10,RT,charge,1
P001_3,23,30,OT,discharge,1
P001_3,23,30,RT,charge,1
P001_3,23,50,OT,discharge,1
P001_3,23,50,RT,charge,1
P001_3,23,70,OT,discharge,1
P001_3,23,70,RT,charge,1
P001_3,23,90,OT,discharge,1
P001_3,23,90,RT,charge,1
P001_3,24,10,OT,discharge,1
P001_3,24,10,RT,charge,1
P001_3,24,30,OT,discharge,1
P001_3,24,30,RT,charge,1
P001_3,24,50,OT,discharge,1
P001_3,24,50,RT,charge,1
P001_3,24,70,OT,discharge,1
P001_3,24,70,RT,charge,1
P001_3,24,90,OT,discharge,1
P001_3,24,90,RT,charge,1
P001_3,25,10,OT,discharge,1
P001_3,25,10,RT,charge,1
P001_3,25,30,OT,discharge,1
P001_3,25,30,RT,charge,1
P001_3,25,50,OT,discharge,1
P001_3,25,50,RT,charge,1
P001_3,25,70,OT,discharge,1
P001_3,25,70,RT,charge,1
P001_3,25,90,OT,discharge,1
P001_3,25,90,RT,charge,1
P001_3,26,10,OT,discharge,1
P001_3,26,10,RT,charge,1
P001_3,26,30,OT,discharge,1
P001_3,26,30,RT,charge,1
P001_3,26,50,OT,discharge,1
P001_3,26,50,RT,charge,1
P001_3,26,70,OT,discharge,1
P001_3,26,70,RT,charge,1
P001_3,26,90,OT,discharge,1
P001_3,26,90,RT,charge,1
P001_3,27,10,OT,discharge,1
P001_3,27,10,RT,charge,1
P001_3,27,30,OT,discharge,1
P001_3,27,30,RT,charge,1
P001_3,27,50,OT,discharge,1
P001_3,27,50,RT,charge,1
P001_3,27,70,OT,discharge,1
P001_3,27,70,RT,charge,1
P001_3,27,90,OT,discharge,1
P001_3,27,90,RT,charge,1
P001_3,28,10,RT,charge,1
P001_3,28,30,RT,charge,1
P001_3,28,50,RT,charge,1
P001_3,28,70,RT,charge,1
P001_3,28,90,RT,charge,1
P002_1,0,10,OT,discharge,1
P002_1,0,10,RT,charge,1
P002_1,0,30,OT,discharge,1
P002_1,0,30,RT,charge,1
P002_1,0,50,OT,discharge,1
P002_1,0,50,RT,charge,1
P002_1,0,70,OT,discharge,1
P002_1,0,70,RT,charge,1
P002_1,0,90,OT,discharge,1
P002_1,0,90,RT,charge,1
P002_1,1,10,OT,discharge,1
P002_1,1,10,RT,charge,1
P002_1,1,30,OT,discharge,1
P002_1,1,30,RT,charge,1
P002_1,1,50,OT,discharge,1
P002_1,1,50,RT,charge,1
P002_1,1,70,OT,discharge,1
P002_1,1,70,RT,charge,1
P002_1,1,90,OT,discharge,1
P002_1,1,90,RT,charge,1
P002_1,2,10,OT,discharge,1
P002_1,2,10,RT,charge,1
P002_1,2,30,OT,discharge,1
P002_1,2,30,RT,charge,1
P002_1,2,50,OT,discharge,1
P002_1,2,50,RT,charge,1
P002_1,2,70,OT,discharge,1
P002_1,2,70,RT,charge,1
P002_1,2,90,OT,discharge,1
P002_1,2,90,RT,charge,1
P002_1,3,10,OT,discharge,1
P002_1,3,10,RT,charge,1
P002_1,3,30,OT,discharge,1
P002_1,3,30,RT,charge,1
P002_1,3,50,OT,discharge,1
P002_1,3,50,RT,charge,1
P002_1,3,70,OT,discharge,1
P002_1,3,70,RT,charge,1
P002_1,3,90,OT,discharge,1
P002_1,3,90,RT,charge,1
P002_1,4,10,OT,discharge,1
P002_1,4,10,RT,charge,1
P002_1,4,30,OT,discharge,1
P002_1,4,30,RT,charge,1
P002_1,4,50,OT,discharge,1
P002_1,4,50,RT,charge,1
P002_1,4,70,OT,discharge,1
P002_1,4,70,RT,charge,1
P002_1,4,90,OT,discharge,1
P002_1,4,90,RT,charge,1
P002_1,5,10,OT,discharge,1
P002_1,5,10,RT,charge,1
P002_1,5,30,OT,discharge,1
P002_1,5,30,RT,charge,1
P002_1,5,50,OT,discharge,1
P002_1,5,50,RT,charge,1
P002_1,5,70,OT,discharge,1
P002_1,5,70,RT,charge,1
P002_1,5,90,OT,discharge,1
P002_1,5,90,RT,charge,1
P002_1,6,10,OT,discharge,1
P002_1,6,10,RT,charge,1
P002_1,6,30,OT,discharge,1
P002_1,6,30,RT,charge,1
P002_1,6,50,OT,discharge,1
P002_1,6,50,RT,charge,1
P002_1,6,70,OT,discharge,1
P002_1,6,70,RT,charge,1
P002_1,6,90,OT,discharge,1
P002_1,6,90,RT,charge,1
P002_1,7,10,OT,discharge,1
P002_1,7,10,RT,charge,1
P002_1,7,30,OT,discharge,1
P002_1,7,30,RT,charge,1
P002_1,7,50,OT,discharge,1
P002_1,7,50,RT,charge,1
P002_1,7,70,OT,discharge,1
P002_1,7,70,RT,charge,1
P002_1,7,90,OT,discharge,1
P002_1,7,90,RT,charge,1
P002_1,8,10,OT,discharge,1
P002_1,8,10,RT,charge,1
P002_1,8,30,OT,discharge,1
P002_1,8,30,RT,charge,1
P002_1,8,50,OT,discharge,1
P002_1,8,50,RT,charge,1
P002_1,8,70,OT,discharge,1
P002_1,8,70,RT,charge,1
P002_1,8,90,OT,discharge,1
P002_1,8,90,RT,charge,1
P002_1,9,10,OT,discharge,1
P002_1,9,10,RT,charge,1
P002_1,9,30,OT,discharge,1
P002_1,9,30,RT,charge,1
P002_1,9,50,OT,discharge,1
P002_1,9,50,RT,charge,1
P002_1,9,70,OT,discharge,1
P002_1,9,70,RT,charge,1
P002_1,9,90,OT,discharge,1
P002_1,9,90,RT,charge,1
P002_1,10,10,OT,discharge,1
P002_1,10,10,RT,charge,1
P002_1,10,30,OT,discharge,1
P002_1,10,30,RT,charge,1
P002_1,10,50,OT,discharge,1
P002_1,10,50,RT,charge,1
P002_1,10,70,OT,discharge,1
P002_1,10,70,RT,charge,1
P002_1,10,90,OT,discharge,1
P002_1,10,90,RT,charge,1
P002_1,11,10,OT,discharge,1
P002_1,11,10,RT,charge,1
P002_1,11,30,OT,discharge,1
P002_1,11,30,RT,charge,1
P002_1,11,50,OT,discharge,1
P002_1,11,50,RT,charge,1
P002_1,11,70,OT,discharge,1
P002_1,11,70,RT,charge,1
P002_1,11,90,OT,discharge,1
P002_1,11,90,RT,charge,1
P002_1,12,10,OT,discharge,1
P002_1,12,10,RT,charge,1
P002_1,12,30,OT,discharge,1
P002_1,12,30,RT,charge,1
P002_1,12,50,OT,discharge,1
P002_1,12,50,RT,charge,1
P002_1,12,70,OT,discharge,1
P002_1,12,70,RT,charge,1
P002_1,12,90,OT,discharge,1
P002_1,12,90,RT,charge,1
P002_1,13,10,OT,discharge,1
P002_1,13,10,RT,charge,1
P002_1,13,30,OT,discharge,1
P002_1,13,30,RT,charge,1
P002_1,13,50,OT,discharge,1
P002_1,13,50,RT,charge,1
P002_1,13,70,OT,discharge,1
P002_1,13,70,RT,charge,1
P002_1,13,90,OT,discharge,1
P002_1,13,90,RT,charge,1
P002_1,14,10,OT,discharge,1
P002_1,14,10,RT,charge,1
P002_1,14,30,OT,discharge,1
P002_1,14,30,RT,charge,1
P002_1,14,50,OT,discharge,1
P002_1,14,50,RT,charge,1
P002_1,14,70,OT,discharge,1
P002_1,14,70,RT,charge,1
P002_1,14,90,OT,discharge,1
P002_1,14,90,RT,charge,1
P002_1,15,10,OT,discharge,1
P002_1,15,10,RT,charge,1
P002_1,15,30,OT,discharge,1
P002_1,15,30,RT,charge,1
P002_1,15,50,OT,discharge,1
P002_1,15,50,RT,charge,1
P002_1,15,70,OT,discharge,1
P002_1,15,70,RT,charge,1
P002_1,15,90,OT,discharge,1
P002_1,15,90,RT,charge,1
P002_1,16,10,OT,discharge,1
P002_1,16,10,RT,charge,1
P002_1,16,30,OT,discharge,1
P002_1,16,30,RT,charge,1
P002_1,16,50,OT,discharge,1
P002_1,16,50,RT,charge,1
P002_1,16,70,OT,discharge,1
P002_1,16,70,RT,charge,1
P002_1,16,90,OT,discharge,1
P002_1,16,90,RT,charge,1
P002_1,17,10,OT,discharge,1
P002_1,17,10,RT,charge,1
P002_1,17,30,OT,discharge,1
P002_1,17,30,RT,charge,1
P002_1,17,50,OT,discharge,1
P002_1,17,50,RT,charge,1
P002_1,17,70,OT,discharge,1
P002_1,17,70,RT,charge,1
P002_1,17,90,OT,discharge,1
P002_1,17,90,RT,charge,1
P002_1,18,10,OT,discharge,1
P002_1,18,10,RT,charge,1
P002_1,18,30,OT,discharge,1
P002_1,18,30,RT,charge,1
P002_1,18,50,OT,discharge,1
P002_1,18,50,RT,charge,1
P002_1,18,70,OT,discharge,1
P002_1,18,70,RT,charge,1
P002_1,18,90,OT,discharge,1
P002_1,18,90,RT,charge,1
P002_1,19,10,OT,discharge,1
P002_1,19,10,RT,charge,1
P002_1,19,30,OT,discharge,1
P002_1,19,30,RT,charge,1
P002_1,19,50,OT,discharge,1
P002_1,19,50,RT,charge,1
P002_1,19,70,OT,discharge,1
P002_1,19,70,RT,charge,1
P002_1,19,90,OT,discharge,1
P002_1,19,90,RT,charge,1
P002_1,20,10,OT,discharge,1
P002_1,20,10,RT,charge,1
P002_1,20,30,OT,discharge,1
P002_1,20,30,RT,charge,1
P002_1,20,50,OT,discharge,1
P002_1,20,50,RT,charge,1
P002_1,20,70,OT,discharge,1
P002_1,20,70,RT,charge,1
P002_1,20,90,OT,discharge,1
P002_1,20,90,RT,charge,1
P002_1,21,10,OT,discharge,1
P002_1,21,10,RT,charge,1
P002_1,21,30,OT,discharge,1
P002_1,21,30,RT,charge,1
P002_1,21,50,OT,discharge,1
P002_1,21,50,RT,charge,1
P002_1,21,70,OT,discharge,1
P002_1,21,70,RT,charge,1
P002_1,21,90,OT,discharge,1
P002_1,21,90,RT,charge,1
P002_1,22,10,OT,discharge,1
P002_1,22,10,RT,charge,1
P002_1,22,30,OT,discharge,1
P002_1,22,30,RT,charge,1
P002_1,22,50,OT,discharge,1
P002_1,22,50,RT,charge,1
P002_1,22,70,OT,discharge,1
P002_1,22,70,RT,charge,1
P002_1,22,90,OT,discharge,1
P002_1,22,90,RT,charge,1
P002_1,23,10,OT,discharge,1
P002_1,23,10,RT,charge,1
P002_1,23,30,OT,discharge,1
P002_1,23,30,RT,charge,1
P002_1,23,50,OT,discharge,1
P002_1,23,50,RT,charge,1
P002_1,23,70,OT,discharge,1
P002_1,23,70,RT,charge,1
P002_1,23,90,OT,discharge,1
P002_1,23,90,RT,charge,1
P002_1,24,10,OT,discharge,1
P002_1,24,10,RT,charge,1
P002_1,24,30,OT,discharge,1
P002_1,24,30,RT,charge,1
P002_1,24,50,OT,discharge,1
P002_1,24,50,RT,charge,1
P002_1,24,70,OT,discharge,1
P002_1,24,70,RT,charge,1
P002_1,24,90,OT,discharge,1
P002_1,24,90,RT,charge,1
P002_1,25,10,OT,discharge,1
P002_1,25,10,RT,charge,1
P002_1,25,30,OT,discharge,1
P002_1,25,30,RT,charge,1
P002_1,25,50,OT,discharge,1
P002_1,25,50,RT,charge,1
P002_1,25,70,OT,discharge,1
P002_1,25,70,RT,charge,1
P002_1,25,90,OT,discharge,1
P002_1,25,90,RT,charge,1
P002_1,26,10,OT,discharge,1
P002_1,26,10,RT,charge,1
P002_1,26,30,OT,discharge,1
P002_1,26,30,RT,charge,1
P002_1,26,50,OT,discharge,1
P002_1,26,50,RT,charge,1
P002_1,26,70,OT,discharge,1
P002_1,26,70,RT,charge,1
P002_1,26,90,OT,discharge,1
P002_1,26,90,RT,charge,1
P002_1,27,10,OT,discharge,1
P002_1,27,10,RT,charge,1
P002_1,27,30,OT,discharge,1
P002_1,27,30,RT,charge,1
P002_1,27,50,OT,discharge,1
P002_1,27,50,RT,charge,1
P002_1,27,70,OT,discharge,1
P002_1,27,70,RT,charge,1
P002_1,27,90,OT,discharge,1
P002_1,27,90,RT,charge,1
P002_1,28,10,RT,charge,1
P002_1,28,30,RT,charge,1
P002_1,28,50,RT,charge,1
P002_1,28,70,RT,charge,1
P002_1,28,90,RT,charge,1
P002_2,0,10,OT,discharge,1
P002_2,0,10,RT,charge,1
P002_2,0,30,OT,discharge,1
P002_2,0,30,RT,charge,1
P002_2,0,50,OT,discharge,1
P002_2,0,50,RT,charge,1
P002_2,0,70,OT,discharge,1
P002_2,0,70,RT,charge,1
P002_2,0,90,OT,discharge,1
P002_2,0,90,RT,charge,1
P002_2,1,10,OT,discharge,1
P002_2,1,10,RT,charge,1
P002_2,1,30,OT,discharge,1
P002_2,1,30,RT,charge,1
P002_2,1,50,OT,discharge,1
P002_2,1,50,RT,charge,1
P002_2,1,70,OT,discharge,1
P002_2,1,70,RT,charge,1
P002_2,1,90,OT,discharge,1
P002_2,1,90,RT,charge,1
P002_2,2,10,OT,discharge,1
P002_2,2,10,RT,charge,1
P002_2,2,30,OT,discharge,1
P002_2,2,30,RT,charge,1
P002_2,2,50,OT,discharge,1
P002_2,2,50,RT,charge,1
P002_2,2,70,OT,discharge,1
P002_2,2,70,RT,charge,1
P002_2,2,90,OT,discharge,1
P002_2,2,90,RT,charge,1
P002_2,3,10,OT,discharge,1
P002_2,3,10,RT,charge,1
P002_2,3,30,OT,discharge,1
P002_2,3,30,RT,charge,1
P002_2,3,50,OT,discharge,1
P002_2,3,50,RT,charge,1
P002_2,3,70,OT,discharge,1
P002_2,3,70,RT,charge,1
P002_2,3,90,OT,discharge,1
P002_2,3,90,RT,charge,1
P002_2,4,10,OT,discharge,1
P002_2,4,10,RT,charge,1
P002_2,4,30,OT,discharge,1
P002_2,4,30,RT,charge,1
P002_2,4,50,OT,discharge,1
P002_2,4,50,RT,charge,1
P002_2,4,70,OT,discharge,1
P002_2,4,70,RT,charge,1
P002_2,4,90,OT,discharge,1
P002_2,4,90,RT,charge,1
P002_2,5,10,OT,discharge,1
P002_2,5,10,RT,charge,1
P002_2,5,30,OT,discharge,1
P002_2,5,30,RT,charge,1
P002_2,5,50,OT,discharge,1
P002_2,5,50,RT,charge,1
P002_2,5,70,OT,discharge,1
P002_2,5,70,RT,charge,1
P002_2,5,90,OT,discharge,1
P002_2,5,90,RT,charge,1
P002_2,6,10,OT,discharge,1
P002_2,6,10,RT,charge,1
P002_2,6,30,OT,discharge,1
P002_2,6,30,RT,charge,1
P002_2,6,50,OT,discharge,1
P002_2,6,50,RT,charge,1
P002_2,6,70,OT,discharge,1
P002_2,6,70,RT,charge,1
P002_2,6,90,OT,discharge,1
P002_2,6,90,RT,charge,1
P002_2,7,10,OT,discharge,1
P002_2,7,10,RT,charge,1
P002_2,7,30,OT,discharge,1
P002_2,7,30,RT,charge,1
P002_2,7,50,OT,discharge,1
P002_2,7,50,RT,charge,1
P002_2,7,70,OT,discharge,1
P002_2,7,70,RT,charge,1
P002_2,7,90,OT,discharge,1
P002_2,7,90,RT,charge,1
P002_2,8,10,OT,discharge,1
P002_2,8,10,RT,charge,1
P002_2,8,30,OT,discharge,1
P002_2,8,30,RT,charge,1
P002_2,8,50,OT,discharge,1
P002_2,8,50,RT,charge,1
P002_2,8,70,OT,discharge,1
P002_2,8,70,RT,charge,1
P002_2,8,90,OT,discharge,1
P002_2,8,90,RT,charge,1
P002_2,9,10,OT,discharge,1
P002_2,9,10,RT,charge,1
P002_2,9,30,OT,discharge,1
P002_2,9,30,RT,charge,1
P002_2,9,50,OT,discharge,1
P002_2,9,50,RT,charge,1
P002_2,9,70,OT,discharge,1
P002_2,9,70,RT,charge,1
P002_2,9,90,OT,discharge,1
P002_2,9,90,RT,charge,1
P002_2,10,10,OT,discharge,1
P002_2,10,10,RT,charge,1
P002_2,10,30,OT,discharge,1
P002_2,10,30,RT,charge,1
P002_2,10,50,OT,discharge,1
P002_2,10,50,RT,charge,1
P002_2,10,70,OT,discharge,1
P002_2,10,70,RT,charge,1
P002_2,10,90,OT,discharge,1
P002_2,10,90,RT,charge,1
P002_2,11,10,OT,discharge,1
P002_2,11,10,RT,charge,1
P002_2,11,30,OT,discharge,1
P002_2,11,30,RT,charge,1
P002_2,11,50,OT,discharge,1
P002_2,11,50,RT,charge,1
P002_2,11,70,OT,discharge,1
P002_2,11,70,RT,charge,1
P002_2,11,90,OT,discharge,1
P002_2,11,90,RT,charge,1
P002_2,12,10,OT,discharge,1
P002_2,12,10,RT,charge,1
P002_2,12,30,OT,discharge,1
P002_2,12,30,RT,charge,1
P002_2,12,50,OT,discharge,1
P002_2,12,50,RT,charge,1
P002_2,12,70,OT,discharge,1
P002_2,12,70,RT,charge,1
P002_2,12,90,OT,discharge,1
P002_2,12,90,RT,charge,1
P002_2,13,10,OT,discharge,1
P002_2,13,10,RT,charge,1
P002_2,13,30,OT,discharge,1
P002_2,13,30,RT,charge,1
P002_2,13,50,OT,discharge,1
P002_2,13,50,RT,charge,1
P002_2,13,70,OT,discharge,1
P002_2,13,70,RT,charge,1
P002_2,13,90,OT,discharge,1
P002_2,13,90,RT,charge,1
P002_2,14,10,OT,discharge,1
P002_2,14,10,RT,charge,1
P002_2,14,30,OT,discharge,1
P002_2,14,30,RT,charge,1
P002_2,14,50,OT,discharge,1
P002_2,14,50,RT,charge,1
P002_2,14,70,OT,discharge,1
P002_2,14,70,RT,charge,1
P002_2,14,90,OT,discharge,1
P002_2,14,90,RT,charge,1
P002_2,15,10,OT,discharge,1
P002_2,15,10,RT,charge,1
P002_2,15,30,OT,discharge,1
P002_2,15,30,RT,charge,1
P002_2,15,50,OT,discharge,1
P002_2,15,50,RT,charge,1
P002_2,15,70,OT,discharge,1
P002_2,15,70,RT,charge,1
P002_2,15,90,OT,discharge,1
P002_2,15,90,RT,charge,1
P002_2,16,10,OT,discharge,1
P002_2,16,10,RT,charge,1
P002_2,16,30,OT,discharge,1
P002_2,16,30,RT,charge,1
P002_2,16,50,OT,discharge,1
P002_2,16,50,RT,charge,1
P002_2,16,70,OT,discharge,1
P002_2,16,70,RT,charge,1
P002_2,16,90,OT,discharge,1
P002_2,16,90,RT,charge,1
P002_2,17,10,OT,discharge,1
P002_2,17,10,RT,charge,1
P002_2,17,30,OT,discharge,1
P002_2,17,30,RT,charge,1
P002_2,17,50,OT,discharge,1
P002_2,17,50,RT,charge,1
P002_2,17,70,OT,discharge,1
P002_2,17,70,RT,charge,1
P002_2,17,90,OT,discharge,1
P002_2,17,90,RT,charge,1
P002_2,18,10,OT,discharge,1
P002_2,18,10,RT,charge,1
P002_2,18,30,OT,discharge,1
P002_2,18,30,RT,charge,1
P002_2,18,50,OT,discharge,1
P002_2,18,50,RT,charge,1
P002_2,18,70,OT,discharge,1
P002_2,18,70,RT,charge,1
P002_2,18,90,OT,discharge,1
P002_2,18,90,RT,charge,1
P002_2,19,10,OT,discharge,1
P002_2,19,10,RT,charge,1
P002_2,19,30,OT,discharge,1
P002_2,19,30,RT,charge,1
P002_2,19,50,OT,discharge,1
P002_2,19,50,RT,charge,1
P002_2,19,70,OT,discharge,1
P002_2,19,70,RT,charge,1
P002_2,19,90,OT,discharge,1
P002_2,19,90,RT,charge,1
P002_2,20,10,OT,discharge,1
P002_2,20,10,RT,charge,1
P002_2,20,30,OT,discharge,1
P002_2,20,30,RT,charge,1
P002_2,20,50,OT,discharge,1
P002_2,20,50,RT,charge,1
P002_2,20,70,OT,discharge,1
P002_2,20,70,RT,charge,1
P002_2,20,90,OT,discharge,1
P002_2,20,90,RT,charge,1
P002_2,21,10,OT,discharge,1
P002_2,21,10,RT,charge,1
P002_2,21,30,OT,discharge,1
P002_2,21,30,RT,charge,1
P002_2,21,50,OT,discharge,1
P002_2,21,50,RT,charge,1
P002_2,21,70,OT,discharge,1
P002_2,21,70,RT,charge,1
P002_2,21,90,OT,discharge,1
P002_2,21,90,RT,charge,1
P002_2,22,10,OT,discharge,1
P002_2,22,10,RT,charge,1
P002_2,22,30,OT,discharge,1
P002_2,22,30,RT,charge,1
P002_2,22,50,OT,discharge,1
P002_2,22,50,RT,charge,1
P002_2,22,70,OT,discharge,1
P002_2,22,70,RT,charge,1
P002_2,22,90,OT,discharge,1
P002_2,22,90,RT,charge,1
P002_2,23,10,OT,discharge,1
P002_2,23,10,RT,charge,1
P002_2,23,30,OT,discharge,1
P002_2,23,30,RT,charge,1
P002_2,23,50,OT,discharge,1
P002_2,23,50,RT,charge,1
P002_2,23,70,OT,discharge,1
P002_2,23,70,RT,charge,1
P002_2,23,90,OT,discharge,1
P002_2,23,90,RT,charge,1
P002_2,24,10,OT,discharge,1
P002_2,24,10,RT,charge,1
P002_2,24,30,OT,discharge,1
P002_2,24,30,RT,charge,1
P002_2,24,50,OT,discharge,1
P002_2,24,50,RT,charge,1
P002_2,24,70,OT,discharge,1
P002_2,24,70,RT,charge,1
P002_2,24,90,OT,discharge,1
P002_2,24,90,RT,charge,1
P002_2,25,10,OT,discharge,1
P002_2,25,10,RT,charge,1
P002_2,25,30,OT,discharge,1
P002_2,25,30,RT,charge,1
P002_2,25,50,OT,discharge,1
P002_2,25,50,RT,charge,1
P002_2,25,70,OT,discharge,1
P002_2,25,70,RT,charge,1
P002_2,25,90,OT,discharge,1
P002_2,25,90,RT,charge,1
P002_2,26,10,OT,discharge,1
P002_2,26,10,RT,charge,1
P002_2,26,30,OT,discharge,1
P002_2,26,30,RT,charge,1
P002_2,26,50,OT,discharge,1
P002_2,26,50,RT,charge,1
P002_2,26,70,OT,discharge,1
P002_2,26,70,RT,charge,1
P002_2,26,90,OT,discharge,1
P002_2,26,90,RT,charge,1
P002_2,27,10,OT,discharge,1
P002_2,27,10,RT,charge,1
P002_2,27,30,OT,discharge,1
P002_2,27,30,RT,charge,1
P002_2,27,50,OT,discharge,1
P002_2,27,50,RT,charge,1
P002_2,27,70,OT,discharge,1
P002_2,27,70,RT,charge,1
P002_2,27,90,OT,discharge,1
P002_2,27,90,RT,charge,1
P002_2,28,10,RT,charge,1
P002_2,28,30,RT,charge,1
P002_2,28,50,RT,charge,1
P002_2,28,70,RT,charge,1
P002_2,28,90,RT,charge,1
P002_3,0,10,OT,discharge,1
P002_3,0,10,RT,charge,1
P002_3,0,30,OT,discharge,1
P002_3,0,30,RT,charge,1
P002_3,0,50,OT,discharge,1
P002_3,0,50,RT,charge,1
P002_3,0,70,OT,discharge,1
P002_3,0,70,RT,charge,1
P002_3,0,90,OT,discharge,1
P002_3,0,90,RT,charge,1
P002_3,1,10,OT,discharge,1
P002_3,1,10,RT,charge,1
P002_3,1,30,OT,discharge,1
P002_3,1,30,RT,charge,1
P002_3,1,50,OT,discharge,1
P002_3,1,50,RT,charge,1
P002_3,1,70,OT,discharge,1
P002_3,1,70,RT,charge,1
P002_3,1,90,OT,discharge,1
P002_3,1,90,RT,charge,1
P002_3,2,10,OT,discharge,1
P002_3,2,10,RT,charge,1
P002_3,2,30,OT,discharge,1
P002_3,2,30,RT,charge,1
P002_3,2,50,OT,discharge,1
P002_3,2,50,RT,charge,1
P002_3,2,70,OT,discharge,1
P002_3,2,70,RT,charge,1
P002_3,2,90,OT,discharge,1
P002_3,2,90,RT,charge,1
P002_3,3,10,OT,discharge,1
P002_3,3,10,RT,charge,1
P002_3,3,30,OT,discharge,1
P002_3,3,30,RT,charge,1
P002_3,3,50,OT,discharge,1
P002_3,3,50,RT,charge,1
P002_3,3,70,OT,discharge,1
P002_3,3,70,RT,charge,1
P002_3,3,90,OT,discharge,1
P002_3,3,90,RT,charge,1
P002_3,4,10,OT,discharge,1
P002_3,4,10,RT,charge,1
P002_3,4,30,OT,discharge,1
P002_3,4,30,RT,charge,1
P002_3,4,50,OT,discharge,1
P002_3,4,50,RT,charge,1
P002_3,4,70,OT,discharge,1
P002_3,4,70,RT,charge,1
P002_3,4,90,OT,discharge,1
P002_3,4,90,RT,charge,1
P002_3,5,10,OT,discharge,1
P002_3,5,10,RT,charge,1
P002_3,5,30,OT,discharge,1
P002_3,5,30,RT,charge,1
P002_3,5,50,OT,discharge,1
P002_3,5,50,RT,charge,1
P002_3,5,70,OT,discharge,1
P002_3,5,70,RT,charge,1
P002_3,5,90,OT,discharge,1
P002_3,5,90,RT,charge,1
P002_3,6,10,OT,discharge,1
P002_3,6,10,RT,charge,1
P002_3,6,30,OT,discharge,1
P002_3,6,30,RT,charge,1
P002_3,6,50,OT,discharge,1
P002_3,6,50,RT,charge,1
P002_3,6,70,OT,discharge,1
P002_3,6,70,RT,charge,1
P002_3,6,90,OT,discharge,1
P002_3,6,90,RT,charge,1
P002_3,7,10,OT,discharge,1
P002_3,7,10,RT,charge,1
P002_3,7,30,OT,discharge,1
P002_3,7,30,RT,charge,1
P002_3,7,50,OT,discharge,1
P002_3,7,50,RT,charge,1
P002_3,7,70,OT,discharge,1
P002_3,7,70,RT,charge,1
P002_3,7,90,OT,discharge,1
P002_3,7,90,RT,charge,1
P002_3,8,10,OT,discharge,1
P002_3,8,10,RT,charge,1
P002_3,8,30,OT,discharge,1
P002_3,8,30,RT,charge,1
P002_3,8,50,OT,discharge,1
P002_3,8,50,RT,charge,1
P002_3,8,70,OT,discharge,1
P002_3,8,70,RT,charge,1
P002_3,8,90,OT,discharge,1
P002_3,8,90,RT,charge,1
P002_3,9,10,OT,discharge,1
P002_3,9,10,RT,charge,1
P002_3,9,30,OT,discharge,1
P002_3,9,30,RT,charge,1
P002_3,9,50,OT,discharge,1
P002_3,9,50,RT,charge,1
P002_3,9,70,OT,discharge,1
P002_3,9,70,RT,charge,1
P002_3,9,90,OT,discharge,1
P002_3,9,90,RT,charge,1
P002_3,10,10,OT,discharge,1
P002_3,10,10,RT,charge,1
P002_3,10,30,OT,discharge,1
P002_3,10,30,RT,charge,1
P002_3,10,50,OT,discharge,1
P002_3,10,50,RT,charge,1
P002_3,10,70,OT,discharge,1
P002_3,10,70,RT,charge,1
P002_3,10,90,OT,discharge,1
P002_3,10,90,RT,charge,1
P002_3,11,10,OT,discharge,1
P002_3,11,10,RT,charge,1
P002_3,11,30,OT,discharge,1
P002_3,11,30,RT,charge,1
P002_3,11,50,OT,discharge,1
P002_3,11,50,RT,charge,1
P002_3,11,70,OT,discharge,1
P002_3,11,70,RT,charge,1
P002_3,11,90,OT,discharge,1
P002_3,11,90,RT,charge,1
P002_3,12,10,OT,discharge,1
P002_3,12,10,RT,charge,1
P002_3,12,30,OT,discharge,1
P002_3,12,30,RT,charge,1
P002_3,12,50,OT,discharge,1
P002_3,12,50,RT,charge,1
P002_3,12,70,OT,discharge,1
P002_3,12,70,RT,charge,1
P002_3,12,90,OT,discharge,1
P002_3,12,90,RT,charge,1
P002_3,13,10,OT,discharge,1
P002_3,13,10,RT,charge,1
P002_3,13,30,OT,discharge,1
P002_3,13,30,RT,charge,1
P002_3,13,50,OT,discharge,1
P002_3,13,50,RT,charge,1
P002_3,13,70,OT,discharge,1
P002_3,13,70,RT,charge,1
P002_3,13,90,OT,discharge,1
P002_3,13,90,RT,charge,1
P002_3,14,10,OT,discharge,1
P002_3,14,10,RT,charge,1
P002_3,14,30,OT,discharge,1
P002_3,14,30,RT,charge,1
P002_3,14,50,OT,discharge,1
P002_3,14,50,RT,charge,1
P002_3,14,70,OT,discharge,1
P002_3,14,70,RT,charge,1
P002_3,14,90,OT,discharge,1
P002_3,14,90,RT,charge,1
P002_3,15,10,OT,discharge,1
P002_3,15,10,RT,charge,1
P002_3,15,30,OT,discharge,1
P002_3,15,30,RT,charge,1
P002_3,15,50,OT,discharge,1
P002_3,15,50,RT,charge,1
P002_3,15,70,OT,discharge,1
P002_3,15,70,RT,charge,1
P002_3,15,90,OT,discharge,1
P002_3,15,90,RT,charge,1
P002_3,16,10,OT,discharge,1
P002_3,16,10,RT,charge,1
P002_3,16,30,OT,discharge,1
P002_3,16,30,RT,charge,1
P002_3,16,50,OT,discharge,1
P002_3,16,50,RT,charge,1
P002_3,16,70,OT,discharge,1
P002_3,16,70,RT,charge,1
P002_3,16,90,OT,discharge,1
P002_3,16,90,RT,charge,1
P002_3,17,10,OT,discharge,1
